Population,Field_Year,Generation,Block,Location,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num_ClosedFt,Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Bodega Bay,2022,G1,1,1,1,NA,BB_173,BB_170,7,0,0,0,NA,0,0,NA,NA,NA,165.928,4/1/22,4/8/22,7
Bodega Bay,2022,G1,1,1,2,NA,BB_023,BB_206,5,1,2,6,4.70625,6,12,NA,18.213,221.109,36.884,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,2,3,NA,BB_075,BB_085,3,0,0,0,NA,0,0,NA,25.535,437.155,59.081,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,2,4,NA,BB_107,BB_179,3,0,0,0,NA,0,0,NA,29.387,505.782,25.267,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,3,6,NA,BB_028,BB_109,2,1,1,2,3.845,2,2,NA,NA,NA,NA,3/11/22,4/1/22,21
Bodega Bay,2022,G1,1,3,7,NA,BB_141,BB_003,1,0,0,0,NA,0,0,NA,19.584,240.305,22.503,3/17/22,4/1/22,15
Bodega Bay,2022,G1,1,3,8,NA,BB_174,BB_010,5,0,0,0,NA,0,0,12.1,NA,NA,NA,3/11/22,3/17/22,6
Bodega Bay,2022,G1,1,4,9,NA,BB_099,BB_161,4,0,0,0,NA,0,0,NA,34.386,738.555,82.185,4/1/22,4/8/22,7
Bodega Bay,2022,G1,1,4,10,NA,BB_194,BB_214,6,0,0,0,NA,0,0,NA,22.317,320.703,81.728,4/1/22,4/1/22,0
Bodega Bay,2022,G1,1,4,11,NA,BB_051,BB_143,7,3,5,28,2.295350877,9.333333333,46.66666667,42.4,16.243,179.925,95.732,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,5,12,NA,BB_115,BB_020,5,2,3,7,2.718571429,3.5,10.5,NA,28.033,492.617,12.94,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,5,13,NA,BB_167,BB_114,5,1,1,1,9.98,1,1,9.97,23.49,NA,41.034,3/25/22,4/22/22,28
Bodega Bay,2022,G1,1,5,14,NA,BB_108,BB_069,4,1,4,6,3.61,6,24,32.47,26.117,452.477,NA,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,5,15,NA,BB_065,BB_013,8,1,1,0,NA,0,0,NA,NA,NA,153.347,3/11/22,4/28/22,48
Bodega Bay,2022,G1,1,6,16,NA,BB_175,BB_104,8,0,0,0,NA,0,0,NA,18.554,228.931,NA,2/25/22,5/19/22,83
Bodega Bay,2022,G1,1,6,17,NA,BB_005,BB_195,4,0,1,0,NA,0,0,15.78,27.518,460.039,75.958,3/3/22,4/1/22,29
Bodega Bay,2022,G1,1,6,18,NA,BB_047,BB_193,8,1,1,6,NA,6,6,NA,32.137,613.342,71.774,3/11/22,4/1/22,21
Bodega Bay,2022,G1,1,7,19,NA,BB_196,BB_186,7,1,4,2,7.845,2,8,82.7,NA,NA,NA,3/11/22,4/28/22,48
Bodega Bay,2022,G1,1,7,20,NA,BB_182,BB_201,1,0,0,0,NA,0,0,NA,NA,NA,NA,3/11/22,5/12/22,62
Bodega Bay,2022,G1,1,7,21,NA,BB_122,BB_027,2,1,1,3,0.986666667,3,3,83.57,26.106,380.918,NA,3/17/22,4/28/22,42
Bodega Bay,2022,G1,1,8,22,NA,BB_125,BB_137,3,0,0,0,NA,0,0,NA,21.936,262.123,87.182,3/25/22,4/8/22,14
Bodega Bay,2022,G1,1,8,23,NA,BB_015,BB_218,7,0,0,0,NA,0,0,NA,20.434,259.292,NA,3/25/22,4/8/22,14
Bodega Bay,2022,G1,1,8,24,NA,BB_144,BB_207,6,0,1,0,NA,0,0,7.22,22.085,NA,NA,3/25/22,4/8/22,14
Bodega Bay,2022,G1,1,9,25,NA,BB_108,BB_189,6,0,0,0,NA,0,0,2.26,NA,NA,76.777,4/1/22,4/1/22,0
Bodega Bay,2022,G1,1,9,26,NA,BB_188,BB_009,2,0,2,0,NA,0,0,13.97,24.492,385.812,NA,4/1/22,4/28/22,27
Bodega Bay,2022,G1,1,9,27,NA,BB_176,BB_017,4,0,1,0,NA,0,0,16.2,NA,NA,31.124,3/11/22,4/1/22,21
Bodega Bay,2022,G1,1,10,28,NA,BB_115,BB_187,3,2,2,0,NA,0,0,NA,19.737,214.472,41.426,4/8/22,4/8/22,0
Bodega Bay,2022,G1,1,10,29,NA,BB_099,BB_032,5,0,0,0,NA,0,0,NA,18.879,207.331,NA,3/25/22,4/1/22,7
Bodega Bay,2022,G1,1,10,30,NA,BB_168,BB_058,2,1,1,11,2.344545455,11,11,33.66,26.133,419.786,136.06,3/25/22,4/1/22,7
Bodega Bay,2022,G1,1,10,31,NA,BB_182,BB_021,3,1,1,0,NA,0,0,NA,21.25,288.628,58.285,3/25/22,4/28/22,34
Bodega Bay,2022,G1,1,11,32,NA,BB_197,BB_060,3,13,17,47,2.976595745,3.615384615,61.46153846,258.43,27.32,475.731,NA,3/25/22,5/25/22,61
Bodega Bay,2022,G1,1,11,33,NA,BB_142,BB_093,7,4,5,41,2.375640097,10.25,51.25,79.64,26.407,442.657,32.423,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,12,35,NA,BB_174,BB_068,2,0,0,0,NA,0,0,NA,30.868,576.87,NA,4/1/22,4/22/22,21
Bodega Bay,2022,G1,1,12,36,NA,BB_202,BB_018,6,1,3,14,3.155714286,14,42,61.06,27.293,460.709,NA,3/25/22,4/8/22,14
Bodega Bay,2022,G1,1,13,37,NA,BB_047,BB_131,6,1,1,4,7.04,4,4,44.29,NA,NA,31.052,3/11/22,4/22/22,42
Bodega Bay,2022,G1,1,13,38,NA,BB_141,BB_029,5,1,1,3,3.66,3,3,NA,33.478,695.946,60.499,4/1/22,4/22/22,21
Bodega Bay,2022,G1,1,13,39,NA,BB_198,BB_045,6,0,1,0,NA,0,0,NA,26.118,457.726,77.091,3/25/22,4/28/22,34
Bodega Bay,2022,G1,1,14,40,NA,BB_175,BB_172,4,1,2,1,1.08,1,2,11.07,27.091,393.849,67.494,4/1/22,4/22/22,21
Bodega Bay,2022,G1,1,14,41,NA,BB_028,BB_083,7,4,6,25,5.693015873,6.25,37.5,NA,28.672,552.351,115.951,3/17/22,4/28/22,42
Bodega Bay,2022,G1,1,14,42,NA,BB_011,BB_116,6,0,1,0,NA,0,0,12.26,36.069,751.338,43.969,4/1/22,4/28/22,27
Bodega Bay,2022,G1,1,15,43,NA,BB_066,BB_019,1,0,0,0,NA,0,0,3.55,35.97,714.629,46.395,4/22/22,4/22/22,0
Bodega Bay,2022,G1,1,15,44,NA,BB_099,BB_061,8,2,4,0,NA,0,0,NA,NA,NA,NA,4/22/22,5/19/22,27
Bodega Bay,2022,G1,1,16,45,NA,BB_215,BB_210,6,0,0,0,NA,0,0,NA,23.626,366.059,44.052,4/1/22,4/28/22,27
Bodega Bay,2022,G1,1,16,46,NA,BB_005,BB_166,5,2,2,5,4.988,2.5,5,14.87,18.527,221.695,66.592,3/25/22,5/12/22,48
Bodega Bay,2022,G1,1,17,47,NA,BB_005,BB_034,5,1,1,3,6.67,3,3,11.66,21.51,351.852,35.896,3/17/22,4/22/22,36
Bodega Bay,2022,G1,1,17,48,NA,BB_057,BB_146,7,2,2,12,3.395833333,6,12,NA,27.81,539.534,160.221,3/17/22,4/1/22,15
Bodega Bay,2022,G1,1,17,49,NA,BB_091,BB_098,2,1,1,0,NA,0,0,NA,29.11,595.8,NA,3/25/22,4/22/22,28
Bodega Bay,2022,G1,1,18,50,NA,BB_202,BB_101,2,2,2,9,1.46,4.5,9,NA,23.47,389.905,103.307,4/1/22,4/28/22,27
Bodega Bay,2022,G1,1,18,51,NA,BB_066,BB_052,5,1,1,1,10.39,1,1,60.78,26.461,397.98,103.625,3/25/22,4/22/22,28
Bodega Bay,2022,G1,1,19,52,NA,BB_177,BB_134,6,0,1,0,NA,0,0,113.85,28.53,543.616,NA,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,19,53,NA,BB_177,BB_117,5,6,6,8,4.545333333,1.333333333,8,43.25,27.91,517.391,99.038,4/8/22,5/25/22,47
Bodega Bay,2022,G1,1,19,54,NA,BB_028,BB_209,6,0,1,0,NA,0,0,6.02,19.87,281.964,52.35,3/25/22,4/8/22,14
Bodega Bay,2022,G1,1,20,55,NA,BB_075,BB_164,4,1,1,4,2.125,4,4,7.46,NA,NA,61.111,3/25/22,4/8/22,14
Bodega Bay,2022,G1,1,20,56,NA,BB_142,BB_150,3,7,8,53,2.955472222,7.571428571,60.57142857,43.67,NA,NA,NA,3/11/22,4/22/22,42
Bodega Bay,2022,G1,1,20,57,NA,BB_130,BB_048,8,1,1,2,6.685,2,2,11.93,24.11,351.649,90.224,3/25/22,4/1/22,7
Bodega Bay,2022,G1,1,21,58,NA,BB_167,BB_110,6,0,0,0,NA,0,0,4.36,29.26,571.653,39.878,4/1/22,4/1/22,0
Bodega Bay,2022,G1,1,21,59,NA,BB_169,BB_160,3,1,2,2,NA,2,4,49.37,21.58,336.135,246.176,3/17/22,5/12/22,56
Bodega Bay,2022,G1,1,21,60,NA,BB_215,BB_004,4,1,3,6,4.88,6,18,48.9,22.47,353.796,57.004,3/17/22,4/22/22,36
Bodega Bay,2022,G1,1,22,61,NA,BB_073,BB_084,4,1,1,1,5.56,1,1,NA,28.33,599.111,82.618,4/1/22,4/1/22,0
Bodega Bay,2022,G1,1,22,62,NA,BB_011,BB_215,5,0,0,0,NA,0,0,NA,23.74,414.096,97.593,4/1/22,4/28/22,27
Bodega Bay,2022,G1,1,22,63,NA,BB_038,BB_149,6,2,2,29,2.893103448,14.5,29,NA,30.34,623.27,80.937,4/8/22,5/19/22,41
Bodega Bay,2022,G1,1,23,64,NA,BB_182,BB_103,5,16,34,139,2.928911111,8.6875,295.375,155.98,NA,NA,68.49,3/11/22,4/28/22,48
Bodega Bay,2022,G1,1,23,65,NA,BB_130,BB_007,7,0,0,0,NA,0,0,3.58,NA,NA,60.541,4/8/22,4/8/22,0
Bodega Bay,2022,G1,1,23,66,NA,BB_173,BB_044,4,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA
Bodega Bay,2022,G1,1,24,67,NA,BB_057,BB_200,5,2,3,10,1.946,5,15,14.23,NA,NA,42.375,3/11/22,4/1/22,21
Bodega Bay,2022,G1,1,24,68,NA,BB_197,BB_199,1,0,0,0,NA,0,0,7.59,20.61,266.145,NA,4/22/22,4/22/22,0
Bodega Bay,2022,G1,1,24,69,NA,BB_197,BB_211,3,0,0,0,NA,0,0,21.83,20.45,320.087,NA,4/1/22,4/28/22,27
Bodega Bay,2022,G1,1,25,70,NA,BB_100,BB_113,2,1,1,0,NA,0,0,18.55,18.73,265.405,NA,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,25,71,NA,BB_188,BB_171,2,0,0,0,NA,0,0,15.39,23.29,406.134,40.793,3/25/22,4/8/22,14
Bodega Bay,2022,G1,1,25,72,NA,BB_091,BB_094,2,0,0,0,NA,0,0,NA,28.592,NA,51.868,4/8/22,4/8/22,0
Bodega Bay,2022,G1,1,26,73,NA,BB_202,BB_025,4,0,0,0,NA,0,0,8.43,NA,NA,83.895,4/8/22,4/8/22,0
Bodega Bay,2022,G1,1,26,74,NA,BB_176,BB_059,3,1,1,0,NA,0,0,9.68,NA,NA,30.093,4/8/22,4/28/22,20
Bodega Bay,2022,G1,1,26,75,NA,BB_014,BB_185,4,1,2,2,12.2,2,4,22.95,15.924,168.676,36.444,3/25/22,4/28/22,34
Bodega Bay,2022,G1,1,27,76,NA,BB_026,BB_070,6,1,1,0,NA,0,0,13.6,28.691,NA,NA,3/25/22,4/1/22,7
Bodega Bay,2022,G1,1,27,77,NA,BB_073,BB_092,8,0,0,0,NA,0,0,NA,NA,NA,NA,3/17/22,4/1/22,15
Bodega Bay,2022,G1,1,27,78,NA,BB_108,BB_097,1,0,0,0,NA,0,0,NA,14.408,122.175,NA,4/8/22,4/8/22,0
Bodega Bay,2022,G1,1,28,79,NA,BB_169,BB_076,1,2,2,6,2.911666667,3,6,33.49,17.895,204.006,114.232,5/12/22,5/25/22,13
Bodega Bay,2022,G1,1,28,80,NA,BB_107,BB_123,4,0,0,0,NA,0,0,13.53,NA,NA,70.35,3/26/22,4/1/22,6
Bodega Bay,2022,G1,1,28,81,NA,BB_194,BB_163,6,0,0,0,NA,0,0,NA,29.032,465.107,40.068,4/8/22,5/19/22,41
Bodega Bay,2022,G1,1,29,82,NA,BB_168,BB_081,5,0,0,0,NA,0,0,NA,NA,NA,62.144,NA,NA,NA
Bodega Bay,2022,G1,1,29,83,NA,BB_100,BB_135,8,1,1,0,NA,0,0,22,28.272,513.397,NA,3/17/22,4/1/22,15
Bodega Bay,2022,G1,1,31,84,NA,BB_173,BB_095,8,0,0,0,NA,0,0,NA,NA,NA,134.565,4/8/22,4/22/22,14
Bodega Bay,2022,G1,1,31,85,NA,BB_162,BB_154,4,0,0,0,NA,0,0,8.05,18.355,230.872,NA,3/17/22,5/19/22,63
Bodega Bay,2022,G1,1,31,86,NA,BB_065,BB_133,3,0,0,0,NA,0,0,NA,24.77,345.906,94.244,4/2/22,4/8/22,6
Bodega Bay,2022,G1,1,32,87,NA,BB_073,BB_064,3,0,0,0,NA,0,0,NA,29.155,514.196,NA,3/17/22,4/2/22,16
Bodega Bay,2022,G1,1,32,88,NA,BB_167,BB_008,8,0,2,0,NA,0,0,18.27,NA,NA,74.51,4/2/22,4/8/22,6
Bodega Bay,2022,G1,1,33,89,NA,BB_194,BB_159,5,5,8,5,16.406,1,8,197.61,NA,NA,124.919,3/3/22,5/12/22,70
Bodega Bay,2022,G1,1,33,90,NA,BB_217,BB_205_A,1,5,7,24,3.601111111,4.8,33.6,40.6,29.449,443.6,NA,4/2/22,4/22/22,20
Bodega Bay,2022,G1,1,33,91,NA,BB_213,BB_147,1,1,1,4,4,4,4,13.95,15.84,164.237,140,4/8/22,4/28/22,20
Bodega Bay,2022,G1,1,34,92,NA,BB_014,BB_102,7,0,0,0,NA,0,0,NA,24.461,348.746,118.491,4/2/22,4/22/22,20
Bodega Bay,2022,G1,1,34,93,NA,BB_026,BB_053,2,2,2,0,NA,0,0,NA,18.237,237.598,71.634,3/17/22,4/2/22,16
Bodega Bay,2022,G1,1,34,94,NA,BB_168,BB_046,1,0,0,0,NA,0,0,NA,29.635,534.413,NA,3/17/22,4/2/22,16
Bodega Bay,2022,G1,1,35,95,NA,BB_174,BB_002,6,2,2,0,NA,0,0,10.11,23.534,340.236,61.985,4/22/22,4/28/22,6
Bodega Bay,2022,G1,1,36,97,NA,BB_107,BB_151,2,0,0,0,NA,0,0,NA,NA,NA,NA,4/8/22,4/8/22,0
Bodega Bay,2022,G1,1,36,98,NA,BB_213,BB_204,8,1,1,0,NA,0,0,NA,19.865,224.568,43.104,3/17/22,3/17/22,0
Bodega Bay,2022,G1,1,36,99,NA,BB_001,BB_072,4,0,0,0,NA,0,0,19.78,18.504,196.929,NA,3/26/22,4/2/22,7
Bodega Bay,2022,G1,1,37,100,NA,BB_057,BB_121,7,1,3,0,NA,0,0,14.12,28.674,474.521,53.314,4/8/22,4/28/22,20
Bodega Bay,2022,G1,1,37,101,NA,BB_213,BB_132,6,7,8,21,4.22375,3,24,349.51,24.74,NA,67.323,3/17/22,4/2/22,16
Bodega Bay,2022,G1,1,37,102,NA,BB_175,BB_050,2,1,1,4,7.1375,4,4,10.44,NA,NA,NA,4/22/22,4/22/22,0
Bodega Bay,2022,G1,1,38,103,NA,BB_196,BB_089,4,1,3,3,4.556666667,3,9,67.57,NA,NA,NA,3/11/22,4/28/22,48
Bodega Bay,2022,G1,1,38,104,NA,BB_122,BB_126,3,0,0,0,NA,0,0,NA,23.192,363.301,NA,3/26/22,4/8/22,13
Bodega Bay,2022,G1,1,38,106,NA,BB_091,BB_139,7,1,1,1,3.83,1,1,6.22,NA,NA,NA,4/28/22,4/28/22,0
Bodega Bay,2022,G1,1,39,107,NA,BB_055,BB_145,4,3,3,8,4.1675,2.666666667,8,NA,25.203,426.601,46.697,3/17/22,4/8/22,22
Bodega Bay,2022,G1,1,39,108,NA,BB_051,BB_105,3,0,1,0,NA,0,0,40.93,NA,NA,91.515,4/2/22,4/8/22,6
Bodega Bay,2022,G1,1,39,109,NA,BB_171,BB_039,5,0,0,0,NA,0,0,NA,NA,NA,38.851,4/28/22,4/28/22,0
Bodega Bay,2022,G1,1,41,111,NA,BB_141,BB_037,2,0,2,0,NA,0,0,10.82,27.878,366.473,63.909,3/26/22,4/2/22,7
Bodega Bay,2022,G1,1,41,112,NA,BB_023,BB_190,2,0,3,0,NA,0,0,36.81,25.52,NA,72.79,3/26/22,4/22/22,27
Bodega Bay,2022,G1,1,42,113,NA,BB_015,BB_111,6,0,1,0,NA,0,0,35.03,23.494,348.042,78.554,3/26/22,4/22/22,27
Bodega Bay,2022,G1,1,42,114,NA,BB_198,BB_138,1,2,2,5,2.246,2.5,5,23,NA,NA,NA,3/26/22,4/8/22,13
Bodega Bay,2022,G1,1,43,115,NA,BB_198,BB_035,2,0,0,0,NA,0,0,NA,NA,NA,50.366,3/11/22,4/8/22,28
Bodega Bay,2022,G1,1,43,116,NA,BB_217,BB_054,6,2,2,0,NA,0,0,NA,28.308,510.216,19.636,4/8/22,5/19/22,41
Bodega Bay,2022,G1,1,43,117,NA,BB_066,BB_087,7,1,1,2,3.705,2,2,NA,22.677,NA,NA,4/2/22,4/28/22,26
Bodega Bay,2022,G1,1,44,118,NA,BB_014,BB_152,2,2,2,6,4.953,3,6,16.35,22.435,317.295,NA,4/2/22,4/8/22,6
Bodega Bay,2022,G1,1,44,119,NA,BB_122,BB_208,3,0,0,0,NA,0,0,NA,17.604,199.16,NA,3/26/22,4/2/22,7
Bodega Bay,2022,G1,1,44,120,NA,BB_162,BB_040,4,0,0,0,NA,0,0,16.37,NA,NA,NA,3/11/22,4/2/22,22
Bodega Bay,2022,G1,1,45,122,NA,BB_001,BB_074,4,0,0,0,NA,0,0,11.16,NA,NA,84.521,4/22/22,4/22/22,0
Bodega Bay,2022,G1,1,45,123,NA,BB_065,BB_192,8,0,0,0,NA,0,0,NA,24.669,322.93,NA,4/22/22,5/12/22,20
Bodega Bay,2022,G1,1,46,124,NA,BB_026,BB_153,1,3,4,20,3.56,6.666666667,26.66666667,75.22,22.352,277.005,22.08,4/2/22,5/12/22,40
